更新时间: 2026-01-22 03:57:44（北京时间）

更新时间,#genre#
2026-01-22 03:57:44,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
江西卫视,http://223.214.248.90:4022/rtp/238.1.78.26:6136$安徽电信
江西卫视,http://171.83.38.123:1234/rtp/239.69.1.126:10394$湖北电信
江西卫视,http://116.9.34.165:4000/rtp/239.81.0.204:4056$广西电信
江西卫视,http://123.181.147.244:7000/rtp/239.254.201.12:6290$河北省电信
江西卫视,http://121.230.174.1:8000/rtp/239.49.8.111:8000$江苏电信
四川卫视,http://180.125.178.205:8686/rtp/239.49.8.110:8000$江苏电信
四川卫视,http://223.214.248.90:4022/rtp/238.1.78.30:6168$安徽电信
四川卫视,http://171.83.38.123:1234/rtp/239.69.1.169:10650$湖北电信
四川卫视,http://116.9.34.165:4000/rtp/239.81.0.130:4056$广西电信
四川卫视,http://116.9.34.165:4000/rtp/239.81.0.80:4056$广西电信
四川卫视,http://123.181.147.244:7000/rtp/239.254.200.202:6325$河北省电信
四川卫视,http://121.230.174.1:8000/rtp/239.49.8.110:8000$江苏电信
重庆卫视,http://180.125.178.205:8686/rtp/239.49.8.57:9830$江苏电信
重庆卫视,http://223.214.248.90:4022/rtp/238.1.78.31:6176$安徽电信
重庆卫视,http://171.83.38.123:1234/rtp/239.69.1.149:10530$湖北电信
重庆卫视,http://123.181.147.244:7000/rtp/239.254.200.203:6323$河北省电信
重庆卫视,http://121.230.174.1:8000/rtp/239.49.8.57:9830$江苏电信
贵州卫视,http://180.125.178.205:8686/rtp/239.49.8.49:8000$江苏电信
贵州卫视,http://223.214.248.90:4022/rtp/238.1.78.244:7824$安徽电信
贵州卫视,http://171.83.38.123:1234/rtp/239.69.1.150:10536$湖北电信
贵州卫视,http://116.9.34.165:4000/rtp/239.81.0.95:4056$广西电信
贵州卫视,http://123.181.147.244:7000/rtp/239.254.201.20:6315$河北省电信
贵州卫视,http://121.230.174.1:8000/rtp/239.49.8.49:8000$江苏电信
云南卫视,http://180.125.178.205:8686/rtp/239.49.0.177:8000$江苏电信
云南卫视,http://223.214.248.90:4022/rtp/238.1.78.89:6584$安徽电信
云南卫视,http://121.230.174.1:8000/rtp/239.49.0.177:8000$江苏电信
天津卫视,http://180.125.178.205:8686/rtp/239.49.8.35:8620$江苏电信
天津卫视,http://223.214.248.90:4022/rtp/238.1.78.20:6088$安徽电信
天津卫视,http://171.83.38.123:1234/rtp/239.69.1.68:10048$湖北电信
天津卫视,http://116.9.34.165:4000/rtp/239.81.0.113:4056$广西电信
天津卫视,http://123.181.147.244:7000/rtp/239.254.200.54:1234$河北省电信
天津卫视,http://121.230.174.1:8000/rtp/239.49.8.35:8620$江苏电信
安徽卫视,http://180.125.178.205:8686/rtp/239.49.8.80:8000$江苏电信
安徽卫视,http://223.214.248.90:4022/rtp/238.1.78.150:7072$安徽电信
安徽卫视,http://223.214.248.90:4022/rtp/238.1.79.27:4328$安徽电信
安徽卫视,http://171.83.38.123:1234/rtp/239.69.1.70:10060$湖北电信
安徽卫视,http://116.9.34.165:4000/rtp/239.81.0.211:4056$广西电信
安徽卫视,http://123.181.147.244:7000/rtp/239.254.200.163:6000$河北省电信
安徽卫视,http://121.230.174.1:8000/rtp/239.49.8.80:8000$江苏电信
山东卫视,http://180.125.178.205:8686/rtp/239.49.8.7:9306$江苏电信
山东卫视,http://223.214.248.90:4022/rtp/238.1.78.169:7224$安徽电信
山东卫视,http://171.83.38.123:1234/rtp/239.69.1.69:10054$湖北电信
山东卫视,http://116.9.34.165:4000/rtp/239.81.0.114:4056$广西电信
山东卫视,http://116.9.34.165:4000/rtp/239.81.0.78:4056$广西电信
山东卫视,http://123.181.147.244:7000/rtp/239.254.200.55:8052$河北省电信
山东卫视,http://121.230.174.1:8000/rtp/239.49.8.7:9306$江苏电信
辽宁卫视,http://180.125.178.205:8686/rtp/239.49.8.48:8000$江苏电信
辽宁卫视,http://223.214.248.90:4022/rtp/238.1.78.21:6096$安徽电信
辽宁卫视,http://171.83.38.123:1234/rtp/239.69.1.71:10066$湖北电信
辽宁卫视,http://116.9.34.165:4000/rtp/239.81.0.210:4056$广西电信
辽宁卫视,http://123.181.147.244:7000/rtp/239.254.200.57:8056$河北省电信
辽宁卫视,http://121.230.174.1:8000/rtp/239.49.8.48:8000$江苏电信
黑龙江卫视,http://180.125.178.205:8686/rtp/239.49.8.14:9426$江苏电信
黑龙江卫视,http://223.214.248.90:4022/rtp/238.1.78.159:7144$安徽电信
黑龙江卫视,http://171.83.38.123:1234/rtp/239.254.96.138:8902$湖北电信
黑龙江卫视,http://116.9.34.165:4000/rtp/239.81.0.105:4056$广西电信
黑龙江卫视,http://123.181.147.244:7000/rtp/239.254.200.49:8016$河北省电信
黑龙江卫视,http://121.230.174.1:8000/rtp/239.49.8.14:9426$江苏电信
吉林卫视,http://180.125.178.205:8686/rtp/239.49.8.113:8000$江苏电信
吉林卫视,http://223.214.248.90:4022/rtp/238.1.79.48:4496$安徽电信
吉林卫视,http://171.83.38.123:1234/rtp/239.69.1.212:10914$湖北电信
吉林卫视,http://116.9.34.165:4000/rtp/239.81.0.143:4056$广西电信
吉林卫视,http://123.181.147.244:7000/rtp/239.254.201.15:6339$河北省电信
